Prefix,Single,Multiple
A,Устройство,Устройства
B,Преобразователь,Преобразователи неэлектрических величин
BA,Громкоговоритель,Преобразователи неэлектрических величин
BB,Магнитострикционный элемент,Преобразователи неэлектрических величин
BD,Детектор ионизирующего излучения,Преобразователи неэлектрических величин
BE,Сельсин-приемник,Преобразователи неэлектрических величин
BF,Телефон,Преобразователи неэлектрических величин
BC,Сельсин-датчик,Преобразователи неэлектрических величин
BK,Тепловой датчик,Преобразователи неэлектрических величин
BL,Фотоэлемент,Преобразователи неэлектрических величин
BM,Микрофон,Преобразователи неэлектрических величин
BP,Датчик давления,Преобразователи неэлектрических величин
BQ,Пьезоэлемент,Преобразователи неэлектрических величин
BR,Датчик частоты вращения,Преобразователи неэлектрических величин
BS,Звукосниматель,Преобразователи неэлектрических величин
BV,Датчик скорости,Преобразователи неэлектрических величин
C,Конденсатор,Конденсаторы
D,Микросхема,Микросхемы
DA,Микросхема,Микросхемы
DD,Микросхема,Микросхемы
DS,Устройство хранения информации,Микросхемы
DT,Устройство задержки,Микросхемы
E,Элемент,Элементы разные
EK,Нагревательный элемент,Элементы разные
EL,Лампа осветительная,Элементы разные
ER,Радиатор,Элементы разные
ET,Пиропатрон,Элементы разные
F,Устройство защитное,Устройства защитные
FA,Элемент защиты по току,Устройства защитные
FP,Элемент защиты по току инерционного действия,Устройства защитные
FU,Предохранитель плавкий,Устройства защитные
FV,Элемент защиты по напряжению,Устройства защитные
FB,Ферритовый фильтр,Устройства защитные
G,Генератор,"Генераторы, источники питания"
GB,Батарея,"Генераторы, источники питания"
H,Устройство сигнальное,Устройства сигнальные
HA,Прибор звуковой сигнализации,Устройства сигнальные
HG,Индикатор символьный,Устройства сигнальные
HL,Прибор световой сигнализации,Устройства сигнальные
HS,Радиатор,Радиаторы
J,Перемычка,Перемычки
K,Реле,Реле
KA,Реле токовое,Реле
KH,Реле указательное,Реле
KK,Реле электротепловое,Реле
KM,Контактор,Реле
KT,Реле времени,Реле
KV,Реле напряжения,Реле
L,Катушка индуктивности,Катушки индуктивности
LL,Дроссель люминесцентного освещения,Катушки индуктивности
M,Двигатель,Двигатели
P,Прибор измерительный,Приборы измерительные
PA,Амперметр,Приборы измерительные
PC,Счётчик импульсов,Приборы измерительные
PF,Частотомер,Приборы измерительные
PI,Счетчик активной энергии,Приборы измерительные
PK,Счетчик реактивной энергии,Приборы измерительные
PR,Омметр,Приборы измерительные
PS,Регистрирующий прибор,Приборы измерительные
PT,Измеритель времени,Приборы измерительные
PV,Вольтметр,Приборы измерительные
PW,Ваттметр,Приборы измерительные
Q,Переключатель силовой,Переключатели силовые
QF,Выключатель автоматический,Переключатели силовые
QK,Короткозамыкатель,Переключатели силовые
QS,Разъединитель,Переключатели силовые
R,Резистор,Резисторы
RK,Терморезистор,Резисторы
RP,Потенциометр,Резисторы
RS,Шунт измерительный,Резисторы
RU,Варистор,Резисторы
S,Устройство коммутационное,Устройства коммутационные
SA,Выключатель,Устройства коммутационные
SB,Выключатель кнопочный,Устройства коммутационные
SF,Выключатель автоматический,Устройства коммутационные
SL,Выключатель по уровню,Устройства коммутационные
SP,Выключатель по давлению,Устройства коммутационные
SQ,Выключатель по положению,Устройства коммутационные
SR,Выключатель по частоте вращения,Устройства коммутационные
SK,Выключатель по температуре,Устройства коммутационные
T,Трансформатор,Трансформаторы
TA,Трансформатор тока,Трансформаторы
TS,Электромагнитный стабилизатор,Трансформаторы
TV,Трансформатор напряжения,Трансформаторы
U,Преобразователь электрических величин,Преобразователи электрических величин
UB,Модулятор,Преобразователи электрических величин
UR,Демодулятор,Преобразователи электрических величин
UI,Дискриминатор,Преобразователи электрических величин
UZ,Преобразователь частотный,Преобразователи электрических величин
V,Прибор,Приборы
VD,Диод,Диоды
VL,Прибор электровакуумный,Лампы
VT,Транзистор,Транзисторы
VS,Тиристор,Тиристоры
VU,Оптопара,Оптопары
W,Элемент СВЧ,Элементы СВЧ
WE,Ответвитель,Элементы СВЧ
WK,Короткозамыкатель,Элементы СВЧ
WS,Вентиль,Элементы СВЧ
WT,Трансформатор,Элементы СВЧ
WU,Аттенюатор,Элементы СВЧ
WA,Антенна,Элементы СВЧ
X,Соединитель,Соединители
XA,Токосъемник,Соединители
XP,Штырь,Соединители
XS,Гнездо,Соединители
XT,Соединение разборное,Соединители
XW,Соединитель высокочастотный,Соединители
Y,Устройство с электромагнитным приводом,Устройства с электромагнитным приводом
YA,Электромагнит,Устройства с электромагнитным приводом
YB,Тормоз с электромагнитным приводом,Устройства с электромагнитным приводом
YC,Муфта с электромагнитным приводом,Устройства с электромагнитным приводом
YH,Электромагнитный патрон,Устройства с электромагнитным приводом
Z,Фильтр,Фильтры
ZA,Фильтр тока,Фильтры
ZC,Фильтр синфазный,Фильтры
ZF,Фильтр частоты,Фильтры
ZL,Ограничитель,Фильтры
ZQ,Фильтр кварцевый,Фильтры
ZV,Фильтр напряжения,Фильтры