"Поз. обозначение","Наименование","Кол.","Примечание"
"","Устройства","",""
"A1","VRB4812ZP-6WR3 ф. MORNSUN","1",""
"A2","NEO-M8U ф. u-blox","1",""
"","","",""
"","Преобразователи неэлектрических величин","",""
"BL1","TEMD5510FX01","1",""
"BL2","APA3010P3BT","1",""
"","","",""
"","Конденсаторы","",""
"C1","керам., чип 0603, NP0, 50В, 1пФ ±0.1пФ","1",""
"C2","керам., чип 0603, X7R, 50В, 0.1мкФ ±10%","1",""
"C3","ECHU1H184GX9 ф. Panasonic (плён., чип 2416, PPS, 50В, 0.18мкФ ±2%)","1",""
"C4","GRM32EC81C476KE15 ф. Murata (керам., чип 1210, X6S, 16В, 47мкФ ±10%)","1",""
"C5","593D476X9016C ф. Vishay (тант., чип C, 16В, 47мкФ ±10%, низк. имп.)","1",""
"C6","B41858C9477M ф. EPCOS (алюм. эл-лит, выводной рад. 18×36, 100В, 470мкФ ±20%, низк. имп.)","1","не старше 1 года"
"C7","A755MS108M1CAAE012 ф. KEMET (алюм. полим., выводной рад. 10×12, 16В, 1000мкФ ±20%)","1",""
"C8","Конденсатор К58-26 – 2,7В – 100Ф (+50…-20)% – ЕВАЯ.673811.006ТУ ф. АО «Элеконд» (ионистор, выводной рад. 20×40, 2.7В, 100Ф -20…+50%)","1",""
"C9–C24","керам., чип 0603, X7R, 50В, 0.1мкФ ±10%","58",""
"","","",""
"","Микросхемы","",""
"DA1","MOC3063M (детектор нуля)","1",""
"DA2","TPS561201DDC ф. Texas Instruments
доп. замена TPS562201DDC ф. Texas Instruments (огр. тока 2А)
доп. замена TPS563201DDC ф. Texas Instruments (огр. тока 3А)","1",""
"DA3","LP5907MFX-3.3 ф. Texas Instruments","1",""
"DD1","SN74LVC1G126DBV ф. Texas Instruments","1",""
"DD2","SCM3725ASA ф. MORNSUN","1",""
"DD3","ECS-3225MV-250-CN ф. ECS Inc. (кварц., 25МГц ±25ppm, -40…+85°C)","1",""
"","","",""
"","Элементы разные","",""
"EF1","SMTSO-M2-2ET ф. PEM (стойка, SMD, M2*0.4, 2мм)","1",""
"ER1","FK 244 13 D2 PAK ф. Fischer Elektronik","1",""
"","","",""
"","Устройства защитные","",""
"FP1","MF-MSMF014 ф. Bourns (самовосст., 140мА, 60В)","1",""
"FU1","0451001. ф. Littelfuse (плавкий, чип 2410, 1А, 0.6029А²с, быстрый)","1",""
"FU2","ZH242 (держатель)","1",""
"FU3","ZH250 (держатель)","1",""
"FU4","ZH242 (держатель)","1",""
"FU5","ZH250 (держатель)","1",""
"FV1","SMAJ5.0A (супрессор, однонаправ., 5В, 400Вт (10/1000мкс), корпус SMA)","1",""
"FV2","SMBJ6.5CA (супрессор, двунаправ., 6.5В, 600Вт (10/1000мкс), корпус SMB)","1",""
"FV3","B72540T0400K062 ф. TDK (варистор, чип 2220, 68В, 9Дж)","1",""
"FV4","GSOT05C-E3-08 (супрессор, корпус SOT-23, сборка)","1",""
"FV5","CDSOT23-T24CAN ф. Bourns (супрессор, корпус SOT-23, сборка)","1",""
"","","",""
"","Генераторы, источники питания","",""
"GB1","DS1092-04-B6P ф. Connfly (держатель, CR2032)
доп. замена BH-25F-1 ф. Adam Tech
доп. замена BS-7 ф. Memory Protection Devices","1",""
"GB2","CR 1/2 AA S PCBD ф. VARTA","1",""
"GB3","BR-2325/2HAN","1",""
"GB4","BH-25F-1 ф. Adam Tech (держатель, CR2032)
доп. замена DS1092-04-B6P ф. Connfly
доп. замена BS-7 ф. Memory Protection Devices","1",""
"","","",""
"","Устройства сигнальные","",""
"HG1","CC56-12SRWA ф. Kingbright (сборка)","1",""
"HL1","KP-1608F3C ф. Kingbright (чип 0603, инфракрасный, 940нм, 150°)","1",""
"HL2","KPT-1608SURCK (чип 0603, красный, 645/630нм, 230мкд (20мА), 120°)","1",""
"HL3","KPA-3010CGCK (зелёный, 574/570нм, 50мкд (20мА), 120°)","1",""
"HL4","KPT-1608QBC-D (чип 0603, синий, 460/465нм, 100мкд (20мА), 130°)","1",""
"HL5","KPT-1608SYCK (чип 0603, жёлтый, 590нм, 150мкд (20мА), 120°)","1",""
"HL6","XPCWHT-L1-0000-008E5 ф. Cree (белый, 4000К, CRI 75, 73.9лм (350мА))","1",""
"HL7","19-337C/RSBHGHC-A88/4T ф. Everlight Electronics Co Ltd (многоцветный)","1",""
"HL8","KPBDA-3020SURKCGKC-PF ф. Kigbright (многоцветный, сборка)","1",""
"HL9","AM23ESGW ф. Kingbright (многоцветный, сборка)","1",""
"","","",""
"J1","Перемычка чип 0402","1",""
"","","",""
"","Реле","",""
"K1","RZ03-1A4-D012 ф. TE Connectivity","1",""
"K2","T9GV2L24-12 ф. TE Connectivity","1",""
"K3","RT214012 ф. TE Connectivity","1",""
"K4","V23105A5476A201 ф. TE Connectivity","1",""
"","","",""
"","Катушки индуктивности","",""
"L1","чип 1812, 10мкГн ±10%, 250мА","1",""
"L2","SRU1048-470Y ф. Bourns (10×10×5.1, 47мкГн ±30%, 1.5А)","1",""
"L3–L5","чип 1812, 10мкГн ±10%, 250мА","3",""
"L6–L8","SRU1048-470Y ф. Bourns (10×10×5.1, 47мкГн ±30%, 1.5А)","3",""
"L9, L10","SRN6045TA-2R2Y ф. Bourns (6×6×4.5, 2.2мкГн ±30%, 6А)","2",""
"L11","SRR0604-100ML ф. Bourns (6.5×6.5×4.8, 10мкГн ±20%, 1.3А)","1",""
"L12","SRN6045TA-2R2Y ф. Bourns (6×6×4.5, 2.2мкГн ±30%, 6А)","1",""
"","","",""
"","Резисторы","",""
"R1","чип 0603, 10кОм ±5%","1",""
"R2","чип 0603, 47кОм ±0.5%, ±25ppm/°C","1",""
"R3","RV0805JR-071ML ф. YAGEO (чип 0805, 400В, 1МОм ±5%)","1",""
"R4","чип 0402, 0Ом ±5%","1",""
"R5–R7","чип 0603, 100кОм ±5%","3",""
"R8, R9","чип 0603, 200кОм ±5%","2",""
"R10–R13","чип 0603, 300кОм ±5%","4",""
"R14","чип 0603, 470кОм ±5%","1",""
"R15–R20","чип 0603, 1кОм ±1%","48",""
"RK1","NCP18XQ102J03RB ф. Murata (термо, чип 0603, 1кОм ±5%)","1",""
"RK2","TFPT0805L1000FV ф. Vishay (термо, чип 0805, 100Ом ±1%)","1",""
"RP1","3006P-1-103 ф. Bourns (перем., 10кОм ±10%, подстроечный, лин. хар-ка)","1",""
"","","",""
"","Устройства коммутационные","",""
"SA1","CHS-01TA ф. Copal Electronics Inc.","1",""
"SA2","SWD-08L","1",""
"SA3","MS-22D18 (движковый)","1",""
"SA4","GPTS203211B ф. CW Industries","1",""
"SA5","SSSF012100","1",""
"SA6","PN12SHNA03QE ф. C&K","1",""
"SB1","DTSM-61N ф. Diptronics (кнопочный)","1",""
"","","",""
"T1","Трансформатор HX1188NL ф. Pulse (сборка)","1",""
"","","",""
"","Диоды","",""
"VD1","BAS316 (общ. прим., 100В, 250мА, корпус SOD-323)","1",""
"VD2","BAT20JFILM (Шоттки, 23В, 1А, корпус SOD-323)","1",""
"VD3","BZT52H-B13 (стабилитрон, 13В ±2%, 830мВт, корпус SOD-123F)","1",""
"VD4","BB545E7904 ф. Infineon (варикап, корпус SOD-323)","1",""
"VD5","BAT54AFILM (Шоттки, 40В, 300мА, корпус SOT-23, сборка)","1",""
"VD6","BAT54СFILM (Шоттки, 40В, 300мА, корпус SOT-23, сборка)","1",""
"VD7","BAT54SFILM (Шоттки, 40В, 300мА, корпус SOT-23, сборка)","1",""
"","","",""
"","Тиристоры","",""
"VS1","","1",""
"VS2","TYN412RG ф. STMicroelectronics (400В, 12А, 15мА)","1",""
"VS3","K2500SRP ф. Littelfuse Inc. (двунаправ.)","1",""
"VS4","BTA24-600BWRG","1",""
"","","",""
"","Транзисторы","",""
"VT1","BCR108 (биполярный цифровой)","1",""
"VT2","IRLML2030","1",""
"VT3","BC817","1",""
"VT4","BCR158 (биполярный цифровой)","1",""
"VT5","IRLML5103","1",""
"VT6","BC807","1",""
"","","",""
"VU1","Оптопара LTV-357T","1",""
"","","",""
"","Соединители","",""
"X1","15EDGRC-3.5-04P ф. Degson","1",""
"X2","5035000993 ф. Molex
доп. замена 5035000991","1",""
"X3","292303-1 ф. TE Connectivity","1",""
"","","",""
"","Фильтры","",""
"ZC1","WCM4532F2SF-142T20-HI ф. TAI-TECH Advanced Electronics Co., Ltd. (синф. дроссель, 1.4кОм (100МГц), 100мОм, 2А)","1",""
"ZF1","MMZ1608B102C ф. TDK (фер. бус., чип 0603, 1кОм ±25% (100МГц), 600мОм, 300мА)","1",""
"ZQ1","FY0800018 ф. Diodes Incorporated (кварц., 8МГц ±30ppm, фунд., -40…+85°C, 18пФ, 100Ом)","1",""
"ZQ2","ABS07-32.768KHZ-T ф. Abracon (кварц., 32.768кГц ±20ppm, -40…+85°C, 12.5пФ, 70кОм)","1",""
"","","",""
"","Сопутствующие элементы","",""
"","Батарея CR2032 (3В, 225мАч)","2","для GB1, GB4"
"","Предохранитель 0215002.MXP ф. Littlefuse (плавкий, 2А, 11.68А²с, 250В, медленный)","1","для FU3"
"","Предохранитель 520.517 ф. ESKA Erich Schweizer (плавкий, 1А, 0.2А²с, 250В, быстрый)","4","для FU2, FU4; один запасной"
"","Предохранитель 520.517 ф. ESKA Erich Schweizer (плавкий, 1А, 0.2А²с, 250В, быстрый)","1","для FU5"
"","Радиатор FK 231 SA 220 ф. Fischer Elektronik (TO220, 24К/Вт)","1","для VS4"
"","Соединитель 15EDGK-3.5-04P-14 ф. Degson","1","для X1"
